Module,ASIC,Channel,Count,Gain,Offset,StraightFit,FullFit,Centre1,Centre2,Centre3,Centre4
0,0,71,25502,16.1396,-3951.24,13300.5,2851.6,443.734,559.161,583.619,608.99
0,0,72,25708,15.5313,-3496.11,42589.7,463589,428.956,568.269,573,594.057
0,0,73,25964,-0.372179,4927.11,3963740,982655,305.554,437.451,-1013.83,482.64
0,0,74,26574,17.0623,-4248.23,115601,2339.43,439.354,554.355,553.801,598.893
0,0,75,26663,16.5684,-4177.68,5122.14,3550.86,445.18,559.756,583.848,604.569
0,0,76,27213,13.0515,-639.681,19380.3,23075.6,291.635,453.142,465.758,489.529
0,0,77,27694,16.5751,-4057.76,5316.07,3584.16,437.806,552.384,575.878,597.451
0,0,78,27752,14.3634,-1324.8,12657.7,22852.9,312.666,457.284,474.116,491.519
0,0,79,27516,16.4262,-4045.77,8733.24,2462.41,441.324,555.386,581.352,602.163
0,0,80,27722,16.5341,-4081.49,24930.1,2937.65,441.684,550.521,580.801,601.622
0,0,81,28052,18.6758,-5388.58,33431,2565.66,461.563,557.797,580.3,605.54
0,0,82,28108,15.0824,-3447.03,90798.4,6976.88,445.586,559.402,584.072,626.613
0,0,83,27818,16.5054,-4157.73,2733.45,3076.62,445.312,561.608,585.494,604.481
0,0,84,27410,16.7795,-4185.47,5074.67,3544.29,439.98,554.61,574.563,598.458
0,0,85,27102,13.8735,-997.852,90804.6,24001.9,302.108,458.394,451.432,490.661
0,0,86,26757,16.5155,-4151.11,5254.99,3767.49,444.993,559.84,584.379,604.734
0,0,87,26487,15.9024,-3772.3,47166.9,2545.99,441.216,551.041,580.924,610.056
0,0,88,25893,16.3743,-4104.97,1113.87,3004.1,445.451,563.865,586.308,605.962
0,0,89,25274,17.001,-2179.23,279621,46006.9,316.374,454.349,447.864,448.758
0,0,90,24247,15.6152,-2089.15,508401,33623.2,356.666,452.9,453.129,529.55
0,0,91,23675,16.5023,-4149.46,18119.4,2229.75,446.195,556.889,586.111,606.104
0,0,92,23705,16.1746,-3992.24,10933.7,4182.8,445.121,560.93,585.067,609.772
0,0,93,23253,14.5791,-1406.92,17146.9,15649.5,315.449,453.109,465.265,498.604
0,0,94,22931,16.3093,-3994.81,4365.63,3259.83,439.521,564.565,579.749,599.505
0,0,95,22224,16.9454,-4360.45,166110,2160.38,450.055,566.98,560.531,610.126
0,0,96,22168,16.3684,-4169.47,2431.9,3951.86,449.806,567.309,590.045,610.98
0,0,97,21730,15.2121,-1495.42,141295,17687.3,306.756,452.563,463.302,460.992
0,0,98,21343,16.4479,-4049.05,24.5404,2987.78,439.657,559.636,579.924,598.916
0,0,99,21389,5.94129,2579.61,267305,17343.5,104.457,501.944,467.33,493.465
0,0,100,20718,16.4822,-4273.57,3877.65,5465.81,453.177,568.938,592.815,613.161
0,0,101,20856,10.4037,206.59,653095,12646.9,325.427,426.633,480.531,574.77
0,0,102,20546,16.4732,-4233.3,1257.93,3074.24,450.628,568.241,590.183,610.484
0,0,103,20187,16.4483,-4108.18,21827.1,2073.54,445.355,555.506,585.97,605.633
0,0,104,20221,16.4836,-4194.06,27810.6,2101.49,449.965,558.527,590.199,609.925
0,0,105,19887,16.4942,-4168.97,602.908,2871.81,445.993,564.11,585.701,605.295
0,0,106,19886,16.1938,-3904.29,69745.7,5327.02,436.476,573.026,575.458,591.604
0,0,107,19740,16.3972,-4057.84,798.705,2910.11,441.92,560.536,582.173,602.387
0,0,108,19585,16.4647,-4173.85,694.28,2908.14,446.884,565.821,587.93,605.595
0,0,109,19401,16.3053,-4110.28,838.089,3310.43,447.619,566.82,588.933,608.837
0,0,110,19468,16.3253,-4074.08,426.148,3054.82,444.723,564.341,586.087,605.473
0,0,111,19091,15.5907,-1751.12,955195,42484.1,339.883,468.52,411.991,487.934
0,0,112,18910,16.4103,-3986.43,825.029,3017.88,437.224,555.737,577.288,597.613
0,0,113,18815,16.3983,-4125.61,863.41,2926.88,446.001,564.508,586.722,606.174
0,0,114,18829,16.4281,-4138.51,241.384,2585.52,445.798,565.01,586.28,605.457
0,0,115,18837,16.3981,-3850.63,497.473,2638.36,428.947,548.648,570.441,588.318
0,0,116,18695,16.3305,-4211.36,664.063,4370.6,453.095,572.377,593.861,614.216
0,0,117,18828,16.4123,-4015.15,6262.59,7130.9,439.58,554.692,580.131,600.197
0,0,118,18871,16.3624,-4032.51,361.833,2550.92,441.09,560.734,582.47,601.179
0,0,119,18714,16.0609,-3938.79,4404.45,6911.98,444.173,564.708,584.601,609.687
0,0,120,18753,15.349,-1938.72,426691,14296.1,339.319,472.479,503.593,468.731
0,0,121,18611,16.2802,-4056.33,2301.26,7241840,445.215,564.493,584.791,607.872
0,0,122,18313,9.69367,-225.777,28561.8,2670.49,349.46,568.123,589.986,610.587
